FEMALE,MALE,HEIGHT,WEIGHT,HEAD_WIDTH,SHOULDER_WIDTH,WAIST_WIDTH,WAIST_LENGTH,HIP_WIDTH,HIP_LENGTH,THIGH_WIDTH,THIGH_LENGTH,KNEE_WIDTH,KNEE_LENGTH,WTR,WHpR,WHdR,HpHdR,WTR(Length),WHpR(Length),ShWR,ShHpR,ShThR
0,1,0.27374181,78.2,0.208296884,0.245149989,0.25720172,0.276902526,0.313258235,0.263216789,0.281719648,0.162720971,0.526133289,0.234314128,0.141629225,0.117552985,0.197042191,0.25038023,0.202056175,0.166457367,0.146982702,0.10001115,0.127294401
1,0,0.179921174,54,0.146159092,0.099261888,0.244487025,0.083755948,0.246792437,0.088519584,0.171107255,0.025877811,0.384401649,0.177917666,0.24013231,0.167141502,0.24830362,0.256213309,0.185078132,0.156861106,0.03111268,0.03008424,0.091598937
1,0,0.184208102,55.7,0.105646879,0.185323152,0.185077697,0.103525487,0.208387175,0.107106729,0.191043249,0.164928451,0.311191538,0.129534268,0.163617547,0.149545639,0.237235372,0.266434095,0.069317475,0.160996722,0.164875889,0.14004062,0.159569991
0,1,0.233557542,56.7,0.240407037,0.178326226,0.213586548,0.249869668,0.177128994,0.152498861,0.228622128,0.128839754,0.284202305,0.324164914,0.158791743,0.212730482,0.142667277,0.113913631,0.224487013,0.268775363,0.135077191,0.165082682,0.122474275
0,1,0.261997157,55.8,0.223150579,0.267233418,0.144310844,0.101214378,0.15225447,0.171008478,0.115143092,0.046627054,0.011240908,0.042439974,0.207768741,0.170101544,0.100444603,0.109219995,0.186650619,0.097517471,0.296642689,0.279274864,0.331862107
0,1,0.239854567,73.2,0.256280925,0.223136461,0.212987901,0.259391049,0.176755952,0.17148676,0.193289826,0.20947022,0.417592559,0.191977511,0.199208283,0.219359134,0.136071245,0.107614104,0.159850583,0.263453466,0.183954567,0.214163485,0.203474174
0,1,0.209135911,57.2,0.180022111,0.146744376,0.182918693,0.218000974,0.15731375,0.201484667,0.259084815,0.217404275,0.413942502,0.173818811,0.112174272,0.212125781,0.176840836,0.15698289,0.124801383,0.19136156,0.142091365,0.162414205,0.077415184
0,1,0.265559256,57.8,0.202231372,0.301149263,0.198248643,0.239023493,0.203412841,0.229749096,0.230435243,0.172795774,0.257743242,0.220493328,0.155470885,0.18336207,0.174288735,0.18291333,0.183393718,0.186342725,0.280688407,0.267541512,0.247712543
1,0,0.22083832,55.8,0.148860186,0.201984527,0.210706524,0.102732455,0.272804312,0.096675235,0.260916595,0.113027909,0.370972337,0.156721942,0.143011326,0.134250568,0.239254793,0.305969322,0.129563941,0.191408753,0.175641382,0.118514394,0.131712482
1,0,0.116739169,43.8,0.077435079,0.10461118,0.018980973,0.060811267,0.05796584,0.132366944,0.082421273,0.150383626,0.17008319,0.098806111,0.118177186,0.146097802,0.120070987,0.16580797,0.063434282,0.10722663,0.293311734,0.233956653,0.21236355
0,1,0.254338028,66.6,0.269632862,0.260151871,0.250309674,0.203396461,0.197433932,0.208294171,0.231593,0.129654719,0.42673762,0.255841367,0.215272797,0.253106408,0.172473509,0.130474043,0.206063055,0.182841919,0.199500213,0.245263324,0.218460817
1,0,0.153175111,51.5,0.233206312,0.205511613,0.227368022,0.176969531,0.209484758,0.156332267,0.252374872,0.261546122,0.388805307,0.109482064,0.176232617,0.220021164,0.186246234,0.174273241,0.073599501,0.214804473,0.172737097,0.184837831,0.151409525
1,0,0.128963318,49.1,0.155506553,0.148546028,0.131124191,0.129972815,0.141842911,0.122170413,0.050587629,0.119000425,0.336970174,-0.02463999,0.303166391,0.192392319,0.169630399,0.184604544,0.158903142,0.205524657,0.215414064,0.197874799,0.314678909
0,1,0.245438749,50.8,0.23121151,0.173127901,0.131886294,0.139186195,0.183733165,0.131033498,0.198405397,0.150590079,0.628737399,0.207903159,0.137687751,0.152954039,0.10969852,0.159175514,0.13926079,0.208701693,0.244438353,0.184097874,0.175631268
0,1,0.29485363,80.4,0.234053967,0.24067046,0.326220402,0.306284346,0.331435099,0.307320884,0.372102069,0.348382413,0.78288529,0.25298096,0.171149791,0.207712604,0.283147699,0.294345879,0.109854879,0.197071093,0.129358756,0.123209723,0.096621201
1,0,0.216334952,66.3,0.158644927,0.255092802,0.379724065,0.29843679,0.347515232,0.269538286,0.255488102,0.260757031,0.542134374,0.204848081,0.334379448,0.244389724,0.419119358,0.397172279,0.173541911,0.229677894,0.104387496,0.12619056,0.207688273
0,1,0.32893886,69.1,0.293461164,0.291179874,0.283226098,0.162722402,0.29455801,0.153140112,0.290189954,0.244530469,0.47392828,0.276182001,0.209687492,0.207650584,0.199607795,0.213552266,0.087659663,0.218783012,0.217572324,0.202385567,0.212336936
0,1,0.294194404,76.7,0.274012811,0.280731388,0.297343315,0.3920722,0.267468941,0.30424593,0.235572924,0.253583597,0.468388331,0.161253568,0.281382884,0.250675062,0.231179798,0.20994885,0.255644758,0.288854881,0.198425875,0.220235017,0.258151452
0,1,0.298692899,71.5,0.37636532,0.292178404,0.282005489,0.338269744,0.278227331,0.303646145,0.324110603,0.258447209,0.480177148,0.214458407,0.183991553,0.228127322,0.142481989,0.141962228,0.213581476,0.242420178,0.226073887,0.223849982,0.189637527
1,0,0.260945066,50,0.235917665,0.12465992,0.15728036,0.168557269,0.263212235,0.170032715,0.16280804,0.160684504,0.223107179,0.102074079,0.218918516,0.122030044,0.145483182,0.247479064,0.170755163,0.214707063,0.184260688,0.086556492,0.179140112
0,1,0.322979754,86.8,0.355031639,0.401799966,0.345070538,0.370897751,0.305906286,0.343623118,0.361767573,0.481569391,0.845319091,0.452407945,0.214321183,0.268568618,0.214059879,0.186231891,0.081917879,0.239889812,0.272507753,0.302464069,0.258759536
0,1,0.317693803,56.7,0.348104319,0.289426471,0.269467469,0.332198724,0.242855738,0.317791831,0.328759992,0.2164515,0.512257333,0.251393807,0.177464297,0.261120571,0.161421578,0.142492844,0.258054217,0.232220503,0.244958284,0.264477254,0.192342872
0,1,0.31376926,55,0.271348711,0.242070397,0.274709139,0.316462332,0.231785284,0.313450627,0.247051674,0.291322612,0.476516872,0.223884229,0.263359882,0.281573624,0.23025102,0.196663367,0.180423891,0.224724375,0.198001624,0.232843609,0.225277698
0,1,0.311212792,64.7,0.348203397,0.335354167,0.267587875,0.34850401,0.306842318,0.436580693,0.309791716,0.241660076,0.816861168,0.403827661,0.198316356,0.20215866,0.165666407,0.201923178,0.251894833,0.149860628,0.297497932,0.251907735,0.257094497
1,0,0.231171478,43.9,0.262183353,0.166460407,0.195483336,0.153764439,0.222619999,0.214601047,0.15816256,0.145034579,0.376801995,0.287207811,0.284003165,0.213561509,0.173301851,0.202498958,0.186464392,0.165418373,0.204271148,0.172984346,0.244925647
1,0,0.246488008,57.5,0.310720362,0.293926707,0.279596977,0.252672897,0.31945487,0.286931037,0.312646496,0.239610049,0.518255845,0.129740176,0.213055192,0.208194853,0.210807724,0.250541451,0.183517904,0.198428151,0.252051743,0.209894539,0.222486542
0,1,0.302695783,70.6,0.298803434,0.27501036,0.336136562,0.337030772,0.315026358,0.285577202,0.335595517,0.358228991,0.655432967,0.327359623,0.24843945,0.270055522,0.273198883,0.260520021,0.153584899,0.286258385,0.186264403,0.199679691,0.188269004
0,1,0.349292737,56.7,0.285049218,0.255143434,0.202159538,0.329154544,0.165134475,0.288051406,0.225724809,0.174409532,0.366536401,0.23627107,0.225310423,0.294714762,0.169437086,0.139504538,0.320117662,0.278800654,0.300921388,0.33488962,0.276064573
1,0,0.283433074,60,0.285920318,0.30967364,0.313279495,0.261320091,0.335005576,0.265714081,0.233035169,0.22330136,0.395709847,0.327360043,0.339268483,0.23471159,0.271196123,0.297548694,0.213276157,0.236859004,0.244210337,0.21905553,0.327499148
0,1,0.358060562,73.2,0.301553276,0.335410194,0.313975601,0.313198244,0.285753256,0.301424934,0.279150529,0.208262096,0.561051122,0.259829554,0.291886236,0.28689091,0.260975012,0.241525222,0.27445668,0.255111976,0.270749853,0.290778823,0.306717515
0,1,0.404857228,78.2,0.331831368,0.36634747,0.378508459,0.395908338,0.435927422,0.378348382,0.403787583,0.267190395,0.753224455,0.342499157,0.237603645,0.21218236,0.293579905,0.350817008,0.284437736,0.260754306,0.243046724,0.192076778,0.223318888
1,0,0.31103313,54,0.269660429,0.22044453,0.365776754,0.202741174,0.369445478,0.203633045,0.29315786,0.130327291,0.611408639,0.286069515,0.335721555,0.261355515,0.344655315,0.356464078,0.267251712,0.250753824,0.126849234,0.121823328,0.187298859
1,0,0.315316597,55.7,0.229115077,0.306490958,0.306350418,0.222490131,0.331024071,0.222202061,0.313076526,0.269357991,0.538114385,0.237652944,0.258823165,0.243346113,0.333401407,0.366499201,0.1512836,0.254486952,0.260286093,0.231454327,0.254946446
